university,college
"Adikavi Nannaya University, Rajahmundry, East Godawari ","Aditya Degree College, Thadithota, Rajahmundry, EG Dist "
"Adikavi Nannaya University, Rajahmundry, East Godawari ",A.K.R.G. College
"Adikavi Nannaya University, Rajahmundry, East Godawari ",A.K.R.G. DEGREE COLLEGE
"Adikavi Nannaya University, Rajahmundry, East Godawari ",AKULA GOPAIAH DEGREE COLLEGE
"Adikavi Nannaya University, Rajahmundry, East Godawari ",Al Ameer Institute of Management & Tech
"Adikavi Nannaya University, Rajahmundry, East Godawari ",Amrutha Arts & Science Degree College
"Adikavi Nannaya University, Rajahmundry, East Godawari ",Andhra Kesari Degree College
"Adikavi Nannaya University, Rajahmundry, East Godawari ",Andhra Womens Sanskrit College
"Adikavi Nannaya University, Rajahmundry, East Godawari ",ANNAPURNA DEGREE COLLEGE
"Adikavi Nannaya University, Rajahmundry, East Godawari ","A.S.Govt.Degree College for Women, Kakinada "
"Adikavi Nannaya University, Rajahmundry, East Godawari ",A.S.N.Degree College for Women
"Adikavi Nannaya University, Rajahmundry, East Godawari ",A.S.N.M. GOVT. DEGREE COLLEGE FOR MEN
"Adikavi Nannaya University, Rajahmundry, East Godawari ",A.S.R. DEGREE COLLEGE
"Adikavi Nannaya University, Rajahmundry, East Godawari ","Avanthi Degree College, E.G Dist. "
"Adikavi Nannaya University, Rajahmundry, East Godawari ",A.V.R. and V.P.R. Degree College
"Adikavi Nannaya University, Rajahmundry, East Godawari ",B.G.B.S. COLLEGE FOR WOMEN
"Adikavi Nannaya University, Rajahmundry, East Godawari ",Bh.S.R. & V.L.M. DEGREE COLLEGE
"Adikavi Nannaya University, Rajahmundry, East Godawari ",BRILLIANTS DEGREE COLLEGE
"Adikavi Nannaya University, Rajahmundry, East Godawari ",B.R.R. & G.K.R. CHAMBERS DEGREE COLLEGE
"Adikavi Nannaya University, Rajahmundry, East Godawari ",B.S.R. Degree College
"Adikavi Nannaya University, Rajahmundry, East Godawari ",C.B.R.Degree College
"Adikavi Nannaya University, Rajahmundry, East Godawari ",Chaitanya College of Education
"Adikavi Nannaya University, Rajahmundry, East Godawari ",Chaitanya Degree College
"Adikavi Nannaya University, Rajahmundry, East Godawari ","Chaitanya Degree College, Sivakodu "
"Adikavi Nannaya University, Rajahmundry, East Godawari ",CHALLA SATYANARAYANA SARMA DEGREE COLLEGE
